Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TrnP	9.07582152189595	0.179832901151042	1.23842187737344	0.145211340688238	0.884544012266066	NA
TrnT	5.07177145442945	1.56128237211965	1.72910190734644	0.902944103806852	0.36655556164965	NA
CYTB	22476.8594343044	-0.45510075631761	0.0911851270301958	-4.9909538006884	6.00818681563434e-07	1.16120993588337e-05
TrnE	1.04356890089279	-1.26650112479912	4.03915422703248	-0.31355602029824	0.753858266733398	NA
ND6	2442.2749665407	0.0587134296933945	0.106356027420796	0.552046095714875	0.580916772009953	0.739450373479827
ND5	15480.1746386091	-0.327696809344304	0.0838232895431129	-3.90937663184597	9.25345974460866e-05	0.000877870652272469
ND4	12440.3021154148	-0.562851755011794	0.0946997083469553	-5.94354264481629	2.78927144283334e-09	1.00344730569653e-07
ND4L	0.493556179861584	-0.373130642048354	4.88764903395441	-0.0763415375073419	0.939147380093549	NA
ND3	5.49722280638423	0.961067584713765	1.65899994031195	0.579305376305829	0.562383138488691	NA
TrnG	0.218612891058262	0.916476028211908	4.96798214910974	0.184476513945635	0.853639650113132	NA
COX2	0.655838673174785	1.82343284074136	4.91968116665921	0.370640449852482	0.710905349934562	NA
COX1	181390.860200144	-0.538158114243555	0.0785838449532829	-6.84820289161829	7.47834546427918e-12	4.80930411406344e-10
TrnY	1.80561195648485	2.60709399482125	2.95162242527587	0.883274897390568	0.377087763237824	NA
TrnN	0.274943288803322	-1.65924762621289	4.96621810499999	-0.334106877936424	0.738298910168873	NA
TrnW	16.8841703261281	-0.716445849661343	0.920495696047515	-0.778326126605116	0.43637677689698	NA
ND2	11165.1409260297	-0.154651888485254	0.214394882853318	-0.721341323202485	0.470699538386823	0.654362077898311
TrnM	0.768625612089472	-0.930068831735804	4.60290160097874	-0.202061419591946	0.83986870841964	NA
TrnQ	2.88438110960118	0.624901827399436	2.13929820190329	0.292105993845773	0.770205584023466	NA
TrnI	1.0963692792281	-1.23603907697863	3.90154200839242	-0.316807835035442	0.751389418726325	NA
ND1	22101.7289358996	-0.172311362683797	0.214750463324046	-0.802379468787408	0.42233348577525	0.6123524023442
TrnL1	7.17232155441806	2.31904169097107	1.64849156493625	1.40676588239671	0.159496822480238	NA
mt-Rnr2	396960.946110691	-0.679225990773522	0.089399493823111	-7.59764917816496	3.01558503354944e-14	3.10505793202799e-12
mt-Rnr1	46431.4533560953	-0.0945680728825019	0.221288816676238	-0.427351342480456	0.669123442062425	0.803191287325346
Cbx7	2784.55573607458	-0.335513451830698	0.115450375277453	-2.90612699200313	0.00365932902183303	0.0182514372008652
Apobec3	28.6654723942206	-0.257293550726379	0.716822005761466	-0.358936456551806	0.719642626040803	NA
Pacs2	1654.95527711745	0.0272276007756697	0.118934212079767	0.228929929408443	0.818923377915486	0.899911717422023
Tex22	6753.96821821073	0.193805336537383	0.0895399170726083	2.16445740484912	0.0304292622657469	0.0951793434448637
Mta1	6610.80687984168	-0.258676233266443	0.0893448716256949	-2.89525552569097	0.00378850002521808	0.0187035354065371
F930026P19Rik	113.264944359016	0.230711085945385	0.365923855260218	0.630489328937903	0.528374482322337	0.69987386030952
Crip2	580.529202145948	0.276989207738949	0.17713834090903	1.56368861940057	0.117890711687602	0.257000690515615
Gm30599	3.74453737165925	-0.210442524547731	1.88648731675352	-0.111552578529859	0.911178174093094	NA
Crip1	44.2404811443715	-0.201808889203689	0.588498251168857	-0.342921816339916	0.731657278761062	NA
Tedc1	4743.47841877363	0.120148402752997	0.096903779949486	1.23987323111263	0.21502228642121	0.389521863498177
Gm12909	0.437225782116523	1.48621865040922	4.93284478707538	0.301290373924451	0.763193080596867	NA
Zfp37	844.5214293486	-0.47080428192303	0.15329248658361	-3.07128087237493	0.00213142547983231	0.011850856130024
Gm30451	9.76570316673796	-0.973608549061301	1.22869426940801	-0.792392846049809	0.4281316494707	NA
LOC108168693	335.456466355028	0.537522073120778	0.222045355427118	2.42077602608179	0.0154874162834212	0.0567273458324706
Mup-ps21	0.656090960023916	2.58640303146441	4.85465300194518	0.53276784775927	0.594194293179794	NA
Mup-ps1	0.768499468664906	-0.90247365583719	4.53508119488323	-0.198998345797076	0.842264038579404	NA
Slc46a2	0.218739034482827	0.909113173321083	4.96621799345982	0.18305945782451	0.854751366144466	NA
Snx30	191.783188270152	0.89280852051917	0.298648477781184	2.98949630399027	0.00279437828298415	0.0146672061989497
Slc1a1	6.13826160368577	-0.00679579388520126	1.51414146586087	-0.00448821595499828	0.996418933806844	NA
Igf2r	1632.25974019085	0.704743144057474	0.121898760862634	5.78138070535137	7.40900106967602e-09	2.40900271916491e-07
Gm7162	0.493556179861584	-0.373130642048354	4.88764903395441	-0.0763415375073419	0.939147380093549	NA
Mas1	206.765111977154	-0.515210250675093	0.278958821582694	-1.84690431280147	0.0647610095788878	0.166002912384401
Airn	2.21056388004093	-0.137760822372601	2.47787418390772	-0.0555963750166466	0.955663352357909	NA
Rcc2	5009.64805142268	-0.00464514303248021	0.0923258742147382	-0.0503124727709179	0.9598733845247	0.980232294127172
Padi6	17.6212518488284	-0.83057777302966	0.912781893190428	-0.909941114329687	0.362853565509871	NA
Padi4	15.0598918082198	0.719820774046951	0.977802866952674	0.736161447644631	0.461632451042099	NA
Gm52482	12.4837942812941	-1.10959927203129	1.07065599561132	-1.03637328570484	0.300028028324604	NA
Padi3	205.730398943026	0.312039360272555	0.285522393748612	1.09287175753818	0.274450110018246	0.458594837779396
Gm13032	1.16724726599727	1.85730432153319	3.51204430068973	0.528838523240848	0.596917471524649	NA
Padi1	19.0682287556434	0.184032999180184	0.867878203813646	0.212049338687736	0.832068542726453	NA
4930515B02Rik	11.2196681517003	-0.365655286214093	1.15205967698838	-0.317392660743026	0.750945675437004	NA
Gm46719	3.54667619584881	-0.686955329493809	1.96536645327095	-0.349530403528824	0.726691149684816	NA
Gm26226	0.218612891058262	0.916476028211908	4.96798214910974	0.184476513945635	0.853639650113132	NA
Gm34375	0.712169070919846	0.154873984576846	4.68138917861734	0.0330829116460231	0.973608469821806	NA
Padi2	37.6011185227043	0.362178870143021	0.625197644735685	0.579302998328057	0.562384742748429	NA
Gm13031	7.96185211655609	0.501006552999751	1.33108328151133	0.37639008765169	0.706626914049084	NA
Tcl1b2	0.218612891058262	0.916476028211908	4.96798214910974	0.184476513945635	0.853639650113132	NA
Gm6726	0.437225782116523	1.48621865040922	4.93284478707538	0.301290373924451	0.763193080596867	NA
Gm4325	1.80586424333398	2.5721973774127	3.00105961221307	0.857096395867953	0.39139161287191	NA
Olfr761	0.874577707657612	2.9196257263535	4.29397825188302	0.679934912356197	0.496545674391967	NA
Gm5967	0.29254341491509	-1.66660534846434	4.96798110852448	-0.335469340977291	0.737271068475111	NA
Olfr128	5.94017523240237	-1.21518152279591	1.56283637604488	-0.777548783367336	0.436835064662484	NA
Olfr127	1.31485602686179	-0.688588626869774	3.63848866451343	-0.189251277209038	0.849895880329849	NA
Gm18737	0.511156305973351	-0.374988706257334	4.99206118127428	-0.0751170093155016	0.940121614582505	NA
Olfr126	0.567486703718412	-2.81782014741556	4.89227144742054	-0.575973794115873	0.56463289482924	NA
Gm9577	1.75526048949054	-3.20956087949925	3.57249792370603	-0.898408046146527	0.368968048413058	NA
Gm7335	0.49368232328615	-0.375081520949348	4.99523324119995	-0.0750878893613478	0.940144783511354	NA
Olfr112	39.7629019447609	-0.579089857369965	0.605034638379516	-0.957118519562716	0.338507437075325	NA
Olfr110	0.218739034482827	0.909113173321083	4.96621799345982	0.18305945782451	0.854751366144466	NA
H2-M3	4.80265386157615	0.627536527292054	1.7032695792746	0.368430537906579	0.712552230450849	NA
Gm7031	33.494289938541	0.852241646224257	0.665595983799265	1.2804188531301	0.200397866901332	NA
Olfr91	0.511282449397917	-0.377013806820734	4.88764904183	-0.0771360225732524	0.938515336486673	NA
Gabbr1	821.963264701835	0.107867063198707	0.152616224388104	0.706786343530556	0.479699262498726	0.662984887900008
Mog	0.493556179861584	-0.373130642048354	4.88764903395441	-0.0763415375073419	0.939147380093549	NA
Zfp57	260.463204599359	-0.20673450284253	0.247760791220829	-0.834411699380907	0.404049026763366	0.595220814410984
H2-M5	17.4103787948238	-0.4247355319969	0.904314203081708	-0.469676944749395	0.638585842118315	NA
2410137M14Rik	1.44231669822515	0.447245963725418	2.97454582710403	0.150357731809044	0.880482387228396	NA
Znrd1as	2059.42449694396	-0.0847225492012323	0.111965908444653	-0.756681657641461	0.449240606421614	0.634710117014847
Znrd1	545.800574996738	-0.0308633776757714	0.179585582955951	-0.171858882922364	0.863548472232203	0.926680783987944
Ppp1r11	9187.60577835531	0.0482800081752164	0.0980201122995397	0.492552059394479	0.622329129102127	0.770568373008206
Gm33595	6.3748530511295	0.117173402716702	1.46950145449909	0.0797368402446683	0.936446558444973	NA
Rnf39	8.35984305334105	0.579849618524826	1.32048820327176	0.439117605964325	0.66057632263967	NA
1700031A10Rik	10.4712896811604	-0.285721037121824	1.16668485373658	-0.244899928379747	0.806533917146777	NA
Trim40	0.218739034482827	0.909113173321083	4.96621799345982	0.18305945782451	0.854751366144466	NA
Trim10	0.437351925541089	2.06767722983759	4.89227575892597	0.422641186172939	0.672557072271063	NA
Trim26	524.236807017395	0.714129367227798	0.188596284839567	3.78655055604773	0.000152753028652821	0.00132940869367671
H2-M10.6	0.655838673174785	1.82343284074136	4.91968116665921	0.370640449852482	0.710905349934562	NA
Gm18809	2.59171155126152	1.07294044470829	2.28969570132885	0.468595212929646	0.639358999674196	NA
H2-M10.4	0.218612891058262	0.916476028211908	4.96798214910974	0.184476513945635	0.853639650113132	NA
Stk-ps1	15.7539832707058	0.49566782343179	0.970721492614369	0.510617954998448	0.609618600801189	NA
H2-M10.3	0.874829994506743	2.90905457598278	4.29410669771632	0.677452793040719	0.498118712097091	NA
H2-M10.1	0.218612891058262	0.916476028211908	4.96798214910974	0.184476513945635	0.853639650113132	NA
Gm33257	22.3529924254554	1.18618109514308	0.819347085850744	1.44771503508973	0.147696763298878	NA
H2-M10.2	3.2866589263433	1.86125951194024	2.28183300947417	0.815686119103495	0.414679680071493	NA
Trim39	4079.22637371999	-0.0903869808188269	0.0969273448898206	-0.932523024555885	0.351066293310779	0.541828343100654
Rpp21	724.918984825094	0.240692804096042	0.179675604350757	1.33959646311343	0.180376574324365	0.344536752366649
Gm4252	0.218612891058262	0.916476028211908	4.96798214910974	0.184476513945635	0.853639650113132	NA
Gm5682	1.38623858732922	0.898490420341521	3.53292744821707	0.254318956024685	0.799249156342343	NA
Gm6623	0.511156305973351	-0.374988706257334	4.99206118127428	-0.0751170093155016	0.940121614582505	NA
H2-T22	5.97270137781194	-0.132925991737633	1.51144184057566	-0.087946481412084	0.929919212877643	NA
H2-T23	4.15515865120176	5.26939392430545	2.3620721162743	2.23083532801567	0.0256920388787277	NA
H2-T24	0.437225782116523	1.48621865040922	4.93284478707538	0.301290373924451	0.763193080596867	NA
Gnl1	9177.12686962674	0.112370860465761	0.089739328166481	1.25219190695628	0.210499944282678	0.383865268532553
Prr3	718.02832679226	0.105942163709754	0.170474151929867	0.62145587768249	0.534299716576014	0.704418730108472
Abcf1	5689.6291373773	0.0803476319025397	0.0895217100242116	0.897521192131041	0.369440870319691	0.560839592985197
Gm8801	1.29750818759916	-1.53612138881688	3.35632908897595	-0.457679014212983	0.647183067182706	NA
Rbx1-ps	12.4798014523193	1.70272311029676	1.11671812329818	1.52475640429999	0.127319867385975	NA
Ppp1r10	5792.61554101149	0.0460802600551466	0.0894054347145142	0.515407818353417	0.60626807021941	0.758627347399229
Mrps18b	1169.46116934182	-0.0134768061733489	0.135120913213014	-0.0997388624224519	0.920551646603841	0.959570941098775
Gm16279	104.1945252335	0.0579530319763459	0.378379112132681	0.153161287497351	0.878271085513819	0.935081089799857
Atat1	520.784137378316	0.0407137203950181	0.183572528845833	0.221785474389853	0.824480887634263	0.90349130821657
2310061I04Rik	2222.77346899594	0.0954159055079073	0.116635252776985	0.818070893971904	0.41331670747615	0.603563094541046
Dhx16	6918.1443142825	0.0592415528563628	0.0905015500804079	0.654591582174322	0.512730745269945	0.688516031351003
Ppp1r18	124.201004872381	0.767063277434122	0.351946600153306	2.17948767540301	0.0292954592466762	0.0922748266653743
Nrm	309.257287974769	0.236747854553123	0.228130100919115	1.03777560961612	0.299374534538351	0.486918807342204
Mdc1	19920.7070940404	-0.123273160413326	0.0847649708739007	-1.45429366803785	0.145864905226788	0.298465512116872
Tubb5	885.539299195364	0.389673814948179	0.161327102752833	2.41542684582387	0.0157167792497198	0.0573650601746427
Flot1	416.578997026425	0.387263009404619	0.224996083601061	1.72119889024945	0.0852147391472326	0.203301217788227
Ier3	22.6167920012198	0.82529127362675	0.803372771582553	1.0272831029623	0.304287176452763	NA
Gm4577	0.29254341491509	-1.66660534846434	4.96798110852448	-0.335469340977291	0.737271068475111	NA
Ddr1	87.4119899264437	0.531413770426077	0.414849241063934	1.28098045705278	0.200200530540134	0.371089722085233
Gtf2h4	1811.93227118528	-0.136504459110294	0.11664748734778	-1.17023060002408	0.241908181664907	0.422126727376367
Vars2	810.130389160388	0.51345867168694	0.153589092369466	3.34306729576726	0.000828578034946421	0.00548635679267029
Sfta2	1.09624313580353	-1.2740193346054	3.95695648463165	-0.321969508523416	0.747475794194139	NA
Mucl3	3.20907223965215	2.77635008797146	2.37127559329588	1.17082556570852	0.241668899278608	NA
2300002M23Rik	0.218739034482827	0.909113173321083	4.96621799345982	0.18305945782451	0.854751366144466	NA
Cdsn	461.991841101202	0.128761822812121	0.195754370321341	0.657772404267411	0.510684389196332	0.686803637695891
Psors1c2	27.1818503695966	0.152284793984192	0.74910564504624	0.203288808449431	0.838909302462761	NA
Cchcr1	21636.8196976791	0.192348886962128	0.080531433241501	2.38849451971511	0.0169175606376844	0.0608613431455707
H2-Q10	0.860030118633501	-3.34357953792541	4.33884094491864	-0.770615835051798	0.440934672415067	NA
Gm8752	0.274943288803322	-1.65924762621289	4.96621810499999	-0.334106877936424	0.738298910168873	NA
H2-Q7	49.0790348308034	0.461301697097015	0.546594489024096	0.843955997289023	0.398693994881377	NA
H2-Q6	34.7130510537298	1.04966998568028	0.655578640855941	1.601135119823	0.109346995112149	NA
Gm8750	0.493556179861584	-0.373130642048354	4.88764903395441	-0.0763415375073419	0.939147380093549	NA
H2-Q4	22.7975576246167	0.902440200453881	0.802486138215259	1.12455550006249	0.260777439682334	NA
H2-Q3	1.86156392395621	0.557303961171019	3.09954476929542	0.179801875001697	0.857308111569552	NA
Gm52319	1.06116902700456	-2.18852360342875	3.68258523158234	-0.594290007101445	0.552318161128099	NA
H2-Q2	6.42119701639195	2.06965312632986	1.71657244238312	1.20568935818202	0.227937289807995	NA
Gm8741	5.07457170466798	0.509278815916583	1.68116013611609	0.302932959791175	0.761940952522024	NA
