Geneid	4N_ZFP821_WT_RNA_seq_rep1	4N_ZFP821_WT_RNA_seq_rep2	4N_ZFP821_KO_RNA_seq_rep1	4N_ZFP821_KO_RNA_seq_rep2
Stk-ps1	14	9	17	25
H2-M10.3	0	0	3	1
H2-M10.1	0	0	0	1
Gm33257	13	11	32	39
H2-M10.2	0	4	6	4
Trim39	3583	3835	4708	4331
Rpp21	549	616	1052	754
LOC102641092	0	0	0	0
Gm4252	0	0	0	1
Gm18604	0	0	0	0
Gm5682	1	0	5	0
Gm8835	0	0	0	0
Gm4246	0	0	0	0
Gm38417	0	0	0	0
LOC100862436	0	0	0	0
H2-T3	0	0	0	0
Gm6623	1	0	0	1
Gm17782	0	0	0	0
LOC105245411	0	0	0	0
LOC547349	0	0	0	0
LOC102641095	0	0	0	0
H2-T18	0	0	0	0
LOC100862434	0	0	0	0
H2-Bl	0	0	0	0
Gm6034	0	0	0	0
H2-T22	6	5	6	7
H2-T23	0	0	12	7
Gm11127	0	0	0	0
H2-T24	0	0	0	2
Gnl1	7536	8001	11670	10155
Prr3	538	687	888	812
Mir877	0	0	0	0
Abcf1	4708	5049	6774	6598
Gm8801	2	1	2	0
Rbx1-ps	3	8	18	25
Mir1894	0	0	0	0
Ppp1r10	4848	5207	6831	6626
Mrps18b	969	1106	1351	1310
Gm16279	89	91	122	121
Atat1	387	524	563	642
2310061I04Rik	1847	1934	2889	2373
Dhx16	5777	6167	8507	7647
Ppp1r18	78	84	190	168
Nrm	240	261	379	386
Mdc1	17731	18867	23288	20366
Gm32463	0	0	0	0
Tubb5	644	700	971	1337
Flot1	293	338	651	437
Ier3	12	17	30	36
Gm32409	0	0	0	0
4833427F10Rik	0	0	0	0
Gm4577	1	0	0	0
LOC115488883	0	0	0	0
Ddr1	66	60	118	118
Gtf2h4	1664	1678	2095	1855
Vars2	570	607	1051	1128
Sfta2	3	0	0	1
Mucl3	2	0	5	7
Gm9573	0	0	0	0
2300002M23Rik	0	0	1	0
Cdsn	363	416	583	521
Psors1c2	15	32	34	30
Cchcr1	17069	18559	27178	25597
H2-Q10	2	1	0	0
Gm8752	0	1	0	0
H2-Q7	33	40	61	69
H2-Q6	18	22	55	52
Gm8750	0	1	0	1
LOC100862431	0	0	0	0
H2-Q4	13	15	37	31
H2-Q3	0	2	0	6
Gm52319	1	2	1	0
H2-Q2	7	0	9	11
Gm8741	5	2	11	3
H2-Q1	0	0	0	1
Gm18734	0	0	0	0
Gm18733	0	0	0	0
H2-D1	357	326	793	791
Mir8094	4	9	11	6
Gm25128	14	12	20	11
Mir6975	0	1	2	1
LOC115488830	42	33	46	43
Ddx39b	2954	3038	3740	3508
Atp6v1g2	389	403	348	398
Nfkbil1	321	372	742	602
Mir6974	0	0	0	0
Lta	0	1	1	0
Tnf	0	0	6	3
Mir6973a	0	0	0	0
Ltb	1	2	5	0
Lst1	0	0	0	2
Ncr3-ps	4	6	9	5
Aif1	459	487	615	620
Gm23442	45	63	71	69
Prrc2a	36539	38966	62078	58721
Bag6	34234	36514	53423	47737
Apom	14	13	22	20
D17H6S53E	28	24	71	65
Gm20522	58	53	101	90
Gpank1	1094	1100	1935	1600
Csnk2b	7138	7445	8175	7327
Ly6g5b	117	115	155	134
Ly6g5c	0	0	2	2
Abhd16a	4530	4763	6531	5390
Ly6g6f	23	22	55	39
Ly6g6e	2	1	5	5
Ly6g6d	11	3	7	11
Ly6g6c	70	44	47	69
G6bos	0	0	0	0
Mpig6b	10	11	9	12
Ddah2	14	17	33	50
Clic1	63	69	119	106
Gm23421	0	0	1	0
Msh5	737	772	1291	1074
Gm52318	0	3	2	0
Sapcd1	19	13	42	49
Vwa7	3	3	7	7
Vars	4661	4903	8048	8249
D17H6S56E-5	65	73	150	204
Lsm2	3173	3516	4636	4337
Hspa1l	2028	2192	2581	2759
Hspa1a	23	36	42	56
Hspa1b	72	75	150	197
Gm8696	0	0	2	3
LOC115488834	7	4	13	5
Snord52	3	5	10	14
1110038B12Rik	337	372	473	499
Neu1	30	30	61	69
Slc44a4	7	3	9	6
Ehmt2	18019	18616	20992	20378
Zbtb12	110	89	150	251
Gm40706	0	0	0	0
C2	27	25	66	70
Mir6972	0	0	0	0
Cfb	6	9	6	3
Nelfe	2860	3140	5130	4386
Mir6970	0	0	0	0
Mir6971	0	0	0	0
Skiv2l	10299	11007	13157	12025
Dxo	1420	1599	2434	2072
Stk19	320	349	639	516
C4a	179	189	212	188
Cyp21a1	3	1	6	8
Tnxa	18	14	22	32
LOC115489362	0	0	0	0
Stk19-ps1	0	0	2	1
C4b	1163	1172	1521	1594
Cyp21a2-ps	0	0	0	0
Tnxb	101	107	150	181
Atf6b	1503	1440	2627	2249
Fkbpl	1724	1875	2910	2468
Prrt1	13	19	28	37
Ppt2	284	293	601	520
Egfl8	10	10	7	12
Agpat1	11306	12054	15292	13209
Rnf5	109	135	211	214
Ager	1	3	19	17
Pbx2	322	314	816	1026
Gpsm3	12	13	39	47
Notch4	67	82	107	121
Gm31560	31	43	76	106
Btnl7-ps	10	25	31	35
Btnl5-ps	0	0	1	0
Btnl4	0	0	0	0
BC051142	15109	16069	16690	16314
Gm15321	0	0	0	0
Gm15320	0	0	0	0
Btnl1	0	0	0	0
Btnl2	0	0	0	0
H2-Ea	0	0	0	0
H2-Eb2	0	0	1	2
H2-Eb1	7	8	49	19
Gm20513	0	0	0	0
H2-Aa	8	6	33	27
H2-Ab1	179	164	272	236
H2-Ob	0	0	0	1
Tap2	1	4	17	11
Psmb8	0	0	0	3
Tap1	9	6	13	8
Psmb9	2	2	7	3
H2-DMb1	138	158	249	210
H2-DMb2	24	18	41	24
H2-DMa	308	296	545	569
Brd2	15964	17513	25965	24339
H2-Oa	0	0	1	0
BC051537	0	0	1	1
