Geneid	RS_ZFP821_WT_RNA_seq_rep1	RS_ZFP821_WT_RNA_seq_rep2	RS_ZFP821_KO_RNA_seq_rep1	RS_ZFP821_KO_RNA_seq_rep2
Stk-ps1	261	234	225	255
H2-M10.3	25	18	13	22
H2-M10.1	0	2	0	0
Gm33257	21	26	42	65
H2-M10.2	4	3	1	1
Trim39	4941	4717	4364	5176
Rpp21	1733	1734	1190	1298
LOC102641092	0	0	0	0
Gm4252	0	0	0	0
Gm18604	0	0	0	0
Gm5682	0	3	0	0
Gm8835	0	0	0	0
Gm4246	0	0	0	0
Gm38417	0	0	0	0
LOC100862436	0	0	0	0
H2-T3	1	2	0	5
Gm6623	0	1	1	1
Gm17782	0	0	0	0
LOC105245411	0	0	0	0
LOC547349	0	0	0	0
LOC102641095	0	0	0	0
H2-T18	0	0	0	0
LOC100862434	0	0	0	0
H2-Bl	14	11	8	5
Gm6034	2	0	0	0
H2-T22	23	21	5	10
H2-T23	47	40	10	14
Gm11127	0	0	0	0
H2-T24	9	4	3	4
Gnl1	33654	30400	13474	14698
Prr3	2174	1955	1120	1126
Mir877	0	0	0	0
Abcf1	8341	8039	6252	7156
Gm8801	25	30	15	17
Rbx1-ps	4	4	2	2
Mir1894	0	0	0	0
Ppp1r10	22991	21452	13526	15867
Mrps18b	2895	2819	1405	1654
Gm16279	468	390	308	381
Atat1	4678	4509	3425	4154
2310061I04Rik	2103	1917	1594	1781
Dhx16	15844	15162	8195	9749
Ppp1r18	802	680	413	471
Nrm	21842	20819	10814	11858
Mdc1	9375	8600	7380	8583
Gm32463	0	0	0	0
Tubb5	884	899	227	278
Flot1	1071	1047	416	442
Ier3	53	59	20	31
Gm32409	0	0	1	0
4833427F10Rik	0	0	0	0
Gm4577	0	0	0	0
LOC115488883	0	0	0	0
Ddr1	569	620	240	246
Gtf2h4	2570	2619	1078	1140
Vars2	809	803	415	437
Sfta2	17	22	34	42
Mucl3	10	13	13	11
Gm9573	0	0	0	0
2300002M23Rik	1	2	0	0
Cdsn	610	512	375	404
Psors1c2	43	59	57	51
Cchcr1	62111	55029	35573	40149
H2-Q10	0	0	0	1
Gm8752	0	0	2	0
H2-Q7	82	101	41	40
H2-Q6	40	47	22	22
Gm8750	0	0	2	1
LOC100862431	0	0	0	0
H2-Q4	63	49	34	41
H2-Q3	10	2	28	24
Gm52319	6	1	8	11
H2-Q2	3	7	3	7
Gm8741	12	15	5	13
H2-Q1	3	2	2	2
Gm18734	5	6	2	1
Gm18733	0	0	0	0
H2-D1	341	303	118	155
Mir8094	8	2	1	3
Gm25128	2	5	2	0
Mir6975	0	0	0	0
LOC115488830	9	8	2	2
Ddx39b	2105	1987	1072	1240
Atp6v1g2	489	390	173	213
Nfkbil1	6556	5963	2303	2491
Mir6974	0	0	0	0
Lta	3	0	2	2
Tnf	15	12	4	9
Mir6973a	1	0	0	1
Ltb	35	34	30	23
Lst1	11	11	5	7
Ncr3-ps	10	15	30	31
Aif1	17014	14867	8796	10455
Gm23442	112	51	31	38
Prrc2a	147343	147108	95681	105282
Bag6	260143	260314	125293	138187
Apom	8	10	27	15
D17H6S53E	54	49	20	20
Gm20522	348	390	203	194
Gpank1	8871	7588	3057	3340
Csnk2b	19766	18522	11511	13011
Ly6g5b	52	54	32	30
Ly6g5c	10	7	8	7
Abhd16a	17431	17213	7486	8810
Ly6g6f	103	79	42	47
Ly6g6e	7	3	0	0
Ly6g6d	6	3	5	9
Ly6g6c	638	576	403	450
G6bos	14	8	8	2
Mpig6b	234	203	131	158
Ddah2	183	131	46	57
Clic1	678	607	442	514
Gm23421	0	0	1	0
Msh5	1891	1798	989	1188
Gm52318	18	9	11	4
Sapcd1	24	23	50	52
Vwa7	50	47	30	33
Vars	116681	117629	49492	54496
D17H6S56E-5	57	54	26	24
Lsm2	24026	19126	6104	6762
Hspa1l	51638	49256	24781	30426
Hspa1a	201	256	89	88
Hspa1b	34	33	15	10
Gm8696	0	0	0	0
LOC115488834	4	4	2	0
Snord52	0	0	0	0
1110038B12Rik	690	590	363	383
Neu1	84	73	39	28
Slc44a4	13	21	7	7
Ehmt2	93953	95476	43441	47420
Zbtb12	29	23	17	8
Gm40706	0	0	0	0
C2	272	261	135	141
Mir6972	0	0	0	0
Cfb	36	34	20	25
Nelfe	15972	13646	6261	7183
Mir6970	0	0	0	0
Mir6971	0	0	0	0
Skiv2l	38921	38145	21170	23843
Dxo	4602	4903	2377	2750
Stk19	977	1047	796	901
C4a	388	376	433	483
Cyp21a1	59	67	50	75
Tnxa	113	116	293	346
LOC115489362	0	0	0	0
Stk19-ps1	12	11	35	32
C4b	5490	5458	2750	3285
Cyp21a2-ps	8	7	7	12
Tnxb	540	576	210	231
Atf6b	1623	1797	899	935
Fkbpl	14882	12046	6346	7438
Prrt1	27	21	12	22
Ppt2	660	670	339	401
Egfl8	175	116	36	36
Agpat1	38669	38896	25403	25692
Rnf5	728	722	367	439
Ager	21	12	30	19
Pbx2	89	99	58	65
Gpsm3	185	129	129	135
Notch4	2483	2048	983	993
Gm31560	6	4	2	4
Btnl7-ps	31	19	78	90
Btnl5-ps	1	1	3	3
Btnl4	4	1	5	2
BC051142	47460	42027	37480	47562
Gm15321	2	0	0	0
Gm15320	0	0	0	0
Btnl1	1	1	3	1
Btnl2	0	1	2	1
H2-Ea	0	0	1	1
H2-Eb2	0	0	0	1
H2-Eb1	405	388	172	189
Gm20513	0	0	0	0
H2-Aa	224	190	113	163
H2-Ab1	1102	978	364	401
H2-Ob	3	0	0	2
Tap2	26	30	10	15
Psmb8	10	5	3	2
Tap1	40	35	7	13
Psmb9	9	7	2	2
H2-DMb1	204	206	181	179
H2-DMb2	8	9	3	6
H2-DMa	2658	2283	3336	3940
Brd2	76372	72577	34037	40452
H2-Oa	1	2	2	1
BC051537	10	5	10	3
Col11a2	125	153	197	216
Rxrb	1713	1619	766	915
Slc39a7	722	667	353	364
H2-Ke6	637	553	243	294
Mir219c	6	7	2	9
Mir219a-1	1	0	0	0
Ring1	2087	1864	1121	1339
LOC102641086	0	0	0	0
LOC100044627	0	0	0	0
H2-K1	2721	2787	1181	1341
LOC100862416	0	0	0	0
H2-K2	6	9	5	6
Gm23111	0	3	1	0
Vps52	11766	11585	4882	5452
Rps18	12675	10208	4425	5084
B3galt4	1297	1167	534	614
Wdr46	2604	2354	1306	1456
Pfdn6	2111	1790	772	1013
Rgl2	2762	2822	2276	2613
Tapbp	10875	10391	5069	5616
Gm19412	4967	4754	1753	1830
Zbtb22	12453	11988	5453	5940
Daxx	19320	18481	9298	10702
BC051226	53	58	46	60
Smim40	15	18	17	18
Gm27740	0	0	0	0
Kifc1	1278	1170	597	652
LOC115489363	0	0	0	0
Cd320	20926	20570	8994	9617
Ndufa7	14058	13699	6356	6879
Rps28	5102	4789	3077	3720
Kank3	14954	12923	5637	6058
Angptl4	108	112	63	105
Gm17251	436	406	203	210
Rab11b	6673	6898	4012	4842
Marchf2	5901	5892	2786	3355
Cpne5	917	907	592	686
Gm18271	1	0	0	0
LOC108168705	0	0	0	0
Rab44	1	1	1	0
Cdkn1a	244	264	112	128
Trp53cor1	11	2	6	13
Srsf3	2165	1909	1106	1148
Gm23887	3	5	2	5
Stk38	1035	1001	1079	1273
Kctd20	4914	4554	4173	4942
Pxt1	3501	3118	1867	2254
Gm16191	124	73	32	25
1700030A11Rik	199	201	153	196
Bnip5	174	143	130	125
Pnpla1	115	106	70	75
Brpf3	12120	12116	8019	9030
Mapk13	10	8	4	5
Gm4356	0	1	0	2
Mapk14	186	167	105	115
Slc26a8	20851	18308	12800	16213
Srpk1	23900	21158	15301	18020
Lhfpl5	0	2	1	0
Mir6969	0	0	0	0
Clps	4	1	0	3
Clpsl2	0	1	0	0
Armc12	24601	26488	12956	14848
Gm41506	981	890	656	647
E230001N04Rik	43	37	27	29
LOC102641455	0	0	0	0
Gm22146	0	1	1	1
Fkbp5	791	744	384	469
Tulp1	2	4	1	4
Tead3	24	52	13	23
Rpl10a	725	832	437	481
Fance	63	62	33	15
1810013A23Rik	3	1	1	2
Ppard	34	25	17	28
Def6	47	31	29	29
Zfp523	4562	4385	2619	2897
Scube3	920	843	645	685
4930526A20Rik	887	879	1054	1247
Tcp11	292449	298563	143122	167005
Gm35290	47	27	28	39
