Geneid	RS_ZFP821_WT_RNA_seq_rep1	RS_ZFP821_WT_RNA_seq_rep2	RS_ZFP821_KO_RNA_seq_rep1	RS_ZFP821_KO_RNA_seq_rep2
Aifm3	48	60	33	30
Crkl	2189	1865	1383	1483
Snap29	2895	2475	2070	2498
Gm18793	1	0	0	0
Gm24927	0	0	1	0
Serpind1	2	4	3	1
Pi4ka	15508	14313	10325	12475
Tmem191c	11374	9776	4944	4971
Hic2	94	92	60	83
Rimbp3	121096	119458	72702	87078
Gm22129	0	0	0	1
Ube2l3	5238	4505	2721	3540
Ydjc	4389	4247	2665	2735
LOC115488656	365	323	222	278
Ccdc116	32372	30870	17393	20781
Gm6440	9	3	6	4
Sdf2l1	2259	2006	868	894
Mir301b	0	0	1	0
Mir130b	0	0	0	1
2610318N02Rik	106256	91272	37475	43966
Ppil2	6536	6234	3633	4436
Ypel1	27316	25792	16911	19425
Mapk1	1195	1149	1179	1509
Gm6438	0	0	0	0
Gm46540	20	17	13	11
Ppm1f	1719	1556	914	1154
Top3b	9102	8535	4569	5468
Vpreb1	2	2	0	0
Igll1	0	2	3	1
Gm5768	3	0	7	7
Rpl31-ps12	2	3	12	21
Spag6l	23860	21868	17022	21433
Gm34340	576	521	348	390
Gm46570	28	19	10	13
4933404G15Rik	3575	2879	2225	2889
Olfr19	70	61	110	125
Gm16139	0	0	0	0
Fgd4	125	160	202	243
Gm18869	0	0	0	0
Gm7765	13	13	6	9
Dnm1l	3362	2967	3739	4744
Yars2	181	152	133	131
Gm5481	0	0	0	0
Pkp2	130	129	68	73
D16Ertd727e	9	5	32	47
Rpl29-ps4	0	0	0	0
Gm18334	24	25	5	9
Gm10121	0	0	0	0
Spidr	639	524	313	320
Cebpd	172	155	46	43
Gm20082	0	0	2	0
Gm41425	57	48	20	21
Mzt2	25668	26808	9997	10713
Gm52255	0	0	0	0
Prkdc	1063	852	1359	1515
Mcm4	229	210	144	188
Gm7748	3	9	24	23
Ube2v2	1552	1348	1154	1389
Gm41424	1	0	0	0
Gm7085	0	0	0	0
Gm6031	0	1	0	1
Gm5404	0	0	0	0
Gm41423	0	0	0	1
Gm46561	4	3	1	2
Efcab1	735	648	561	672
Gm33696	3	0	2	2
Gm25547	2	0	0	0
Snai2	88	79	136	142
LOC115488637	104	110	255	401
A630010A05Rik	229	190	210	299
Gm23116	1	2	0	0
Abcc1	1061	1008	465	571
Cep20	834	713	396	486
Myh11	1085	962	263	287
Nde1	400	385	243	365
Mir484	7	5	5	1
Marf1	1283	1140	1340	1665
Gm15808	2	0	0	2
Gm15806	0	1	0	0
Bmerb1	1882	1583	930	1022
Ifitm7	4583	4263	2467	2763
Gm15950	1	2	1	1
Mpv17l	118	122	94	124
Gm19150	50	29	61	69
Pdxdc1	26454	24766	18239	22872
Ntan1	917	952	616	827
Rrn3	507	432	345	459
Gm6354	6	3	10	9
A930007A09Rik	3270	3016	2129	2488
Pla2g10os	25	23	17	22
Pla2g10	4689	4070	3056	3432
Bfar	1035	814	847	1043
Gm33329	1	0	0	0
Parn	2073	1829	1013	1222
Gm25276	0	0	2	0
2310015D24Rik	1	6	4	4
Mir6365	0	0	0	0
Gm33155	759	596	386	424
Mir365-1	0	1	0	0
Mir193b	2	0	1	1
Gm53058	34	34	13	18
Gm32817	626	625	532	608
n-TTcgt5	0	0	0	0
Gm41421	3	0	6	2
Gm15738	93	51	103	110
LOC115488652	35	39	19	40
Mrtfb	1083	1115	1060	1188
Gm32596	7	11	14	20
Ercc4	13050	12299	7273	8956
Gm6332	5	5	1	5
1700003L19Rik	131	123	77	121
4930414F18Rik	282	234	121	148
LOC108167340	753	709	1390	1867
Gm38619	4	4	1	3
Gm45919	1225	1128	489	506
C87114	0	0	1	4
Gm19571	0	0	0	0
Shisa9	17	22	24	20
Gm32278	0	0	0	0
Gm9961	3	4	2	2
Cpped1	374	386	229	280
4833415N18Rik	0	0	0	0
Gm32100	5	5	10	12
Gm15897	0	1	0	0
Gm18868	0	0	1	1
Snx29	1015	885	541	624
Tnfrsf17	5	3	4	4
Mir1945	7	5	5	3
LOC115488671	115	100	205	261
Gspt1	6060	5110	3976	4440
2610020C07Rik	452	365	231	261
Rsl1d1	800	677	681	860
Gm6305	3	3	5	9
Gm7638	1	4	9	4
4930509G22Rik	403	463	551	701
Gm24145	4	1	9	13
Zc3h7a	1285	1186	1119	1394
Txndc11	593	542	310	402
Snn	2306	2128	976	1050
Gm9861	416	380	292	317
Gm18724	0	0	0	0
Gm3919	9	20	13	18
Gm10832	1	4	3	2
Gm4262	0	0	0	0
Litaf	143	139	45	55
Gm21859	0	0	0	0
Rmi2	37	44	28	17
Gm17913	1	7	0	2
Gm10343	68	68	115	149
Prm1	177993	233953	109463	120498
Prm2	71234	67480	52312	56075
Prm3	5402	4358	2213	2456
Tnp2	110968	116297	64287	73515
Socs1	182	172	69	85
Gm15558	1	5	2	3
Gm52264	0	0	0	0
Clec16a	9697	9016	6685	7748
Dexi	586	533	278	258
LOC115488669	4	2	2	2
Ciita	52	40	19	22
Gm41420	3	1	2	5
Tvp23a	196	145	45	50
Nubp1	2798	2730	1257	1451
Gm41419	72	61	26	30
Tekt5	13505	13298	6016	7095
Gm30724	20	14	4	6
Gm1600	10	7	12	16
Emp2	64	71	37	32
Gm24667	0	2	1	2
Atf7ip2	1465	1077	1061	1245
Rpl39l	31595	31153	14219	16171
Gm3890	0	0	0	0
Gm7572	0	0	0	0
Gm30668	16	10	9	7
Gm19143	0	0	0	0
Grin2a	22	27	26	32
Gm41418	78	59	78	110
Gm18722	2	1	1	0
Gm30567	0	0	0	0
Gm30444	12	0	2	3
Gm30371	0	0	0	0
Gm10247	0	2	1	0
Gm30310	8	8	33	20
Gm52232	65	39	22	27
1810013L24Rik	15481	14178	11094	12682
Gm25805	1	2	3	1
Usp7	15938	13471	14928	18954
Gm5767	660	643	461	509
Carhsp1	8753	8690	4706	4983
Pmm2	4433	4150	2278	2734
Tmem186	859	767	494	538
Gm7541	18	26	36	33
Gm18792	3	1	1	3
Abat	395	329	150	180
Gm23706	0	0	0	0
Mettl22	3927	3775	1811	2262
Gm30012	2273	2050	1054	1376
Tmem114	290	260	68	71
Gm24579	0	0	0	0
Gm29936	3	0	0	4
Gm26159	0	0	0	0
Gm29854	360	311	173	189
Gm36824	371	274	254	365
Gm52235	238	206	327	463
1700123O21Rik	13	13	2	16
Gm36902	142	100	91	99
Gm52234	121	74	76	107
Rbfox1	45	37	70	67
Gm41416	0	0	0	0
Gm41414	1	0	0	0
Gm52265	0	1	0	0
LOC115488699	0	0	0	0
Gm15983	52	39	62	54
Eef2kmt	1587	1630	1069	1173
Alg1	215	204	70	104
Mir6364	0	0	0	0
AU021092	69	78	23	30
Nagpa	188	191	70	99
Sec14l5	10	6	8	14
Gm52254	3	9	19	26
Ppl	5	1	9	6
Gm23483	0	0	0	0
Ubn1	6258	6121	4243	4863
Glyr1	4175	3902	2718	3153
Rogdi	13004	12888	7443	8136
Smim22	3	0	1	1
Septin12	25872	24213	14090	16767
4930451G09Rik	7149	7101	5621	6351
Gm36681	42	37	46	51
Anks3	2297	2120	1616	1916
Nudt16l1	2509	2545	1085	1188
Gm16861	115	83	36	49
Mgrn1	2211	2287	1453	1695
Ubald1	6050	6328	3573	4016
Gm10914	15	20	26	20
Gm36513	156	122	42	47
4930562C15Rik	24782	23588	16281	19230
Cdip1	8523	7543	4478	5191
Hmox2	61541	49009	25683	31118
Nmral1	81	94	46	47
Dnaja3	4206	3961	2358	2870
Vasn	429	449	206	208
Coro7	2429	2371	1709	1891
Pam16	18453	18515	7972	9175
Glis2	321	304	127	129
D330022H12Rik	9	8	3	2
Tfap4	160	128	152	165
Srl	97	80	28	39
Gm6142	12	5	1	4
Adcy9	227	255	111	135
Gm36359	8	8	2	2
Gm5766	854	846	547	722
4930455F16Rik	913	798	648	770
Crebbp	3885	3754	4987	5990
Trap1	9805	9131	5016	5760
Dnase1	24	12	14	18
Slx4	21970	20594	16500	19970
Nlrc3	276	263	273	338
LOC115488700	0	1	1	2
Gm15539	45	22	74	75
Gm15537	105	48	51	45
Cluap1	3660	3101	3501	4212
1700037C18Rik	4633	4499	2265	2559
Gm41410	668	523	293	376
Naa60	2756	2857	1612	1840
Zfp597	7220	5793	3816	4549
Zfp174	648	593	365	475
Olfr15	0	0	2	0
Gm41409	15	12	41	71
Gm36195	118	87	184	216
Zfp263	2313	2261	1548	1857
LOC115488706	0	0	0	1
Tdgf1-ps1	0	0	0	2
Mefv	1	1	1	3
6720473M11Rik	4	3	6	7
Olfr163-ps1	0	0	1	0
Olfr162-ps1	25	33	11	22
Olfr161	3	0	6	6
Gm22598	0	0	0	0
Gm4116	0	0	0	0
Gm35974	0	0	0	0
Vmn1r-ps138	0	0	0	0
Gm4111	0	0	0	0
Gm3749	0	0	0	0
Gm3711	0	0	0	1
Gm4106	0	0	0	0
Vmn1r-ps137	0	0	0	0
Gm35912	2	1	3	2
Gm9108	1	1	0	1
Glycam1	0	0	0	0
Ppp1r1a	1	2	1	0
Pde1b	1129	1160	933	1153
Nckap1l	7550	7212	5599	6784
Marcksl1-ps3	430	434	707	738
Gtsf2	4219	3886	3434	4618
Gm52195	100	82	47	64
Gtsf1	17364	15786	9536	11363
Mir6963	0	0	0	0
Itga5	84	80	29	51
Zfp385a	11294	10567	6602	7317
Gpr84	6	5	3	2
Gm41406	112	94	82	96
Mir148b	0	0	0	0
Copz1	3730	3496	1828	2109
Nfe2	80	66	32	43
Hnrnpa1	1955	1454	1171	1341
Cbx5	2721	2323	1889	2236
Smug1	115	121	90	126
D930007P13Rik	3	8	8	12
Gm28876	1069	1027	1268	1491
Gm30528	4	0	0	0
Hoxc4	10	4	4	1
Mir615	1	1	0	0
Hoxc5	47	17	13	20
Hoxc6	30	23	11	8
Gm29905	0	0	0	0
Hoxc8	9	2	0	1
Gm36878	3	0	0	2
Hoxc9	69	56	29	25
Mir196a-2	0	0	0	0
Hoxc10	2	0	0	0
Hoxc11	0	2	0	0
Hotair	1	1	1	0
Hoxc12	2	5	0	0
Hoxc13	0	0	0	0
Cistr	0	0	0	0
Gm36560	107	60	165	193
Gm36510	2	1	5	2
Calcoco1	1086	1077	493	589
Mir688	1	0	0	1
Atp5g2	377	414	179	170
Gm4544	0	4	0	1
Rpl39-ps	0	0	1	0
Gm25141	0	0	0	0
LOC105246046	0	0	0	0
Atf7	737	673	602	708
Npff	1	3	6	7
Tarbp2	30576	30873	12900	14938
Map3k12	756	619	376	504
Pcbp2	24521	20900	15834	18824
Gm36331	41	16	16	17
Prr13	88	79	43	40
Gm24128	0	0	0	1
Amhr2	3609	3414	1194	1325
Sp1	5637	5273	2491	3025
Sp7	5	4	0	0
Gm36246	200	179	78	90
Aaas	1682	1669	758	800
Myg1	2917	2942	1279	1351
Gm51296	0	0	0	0
Pfdn5	9326	8291	4545	5799
Espl1	53603	54256	23507	26819
Mfsd5	196	178	83	77
Gm9918	0	3	0	0
Rarg	252	238	137	157
Itgb7	9	6	5	5
Zfp740	784	673	517	554
Csad	1508	1484	1054	1214
Soat2	1	0	0	0
Igfbp6	246	218	62	59
Spryd3	785	680	359	367
Tns2	244	251	82	82
Eif4b	11644	10448	6241	7416
Gm41405	0	0	0	0
Krt18	20	15	64	57
Gm41404	63	56	90	95
Gm36026	102	93	56	87
Krt8	972	918	438	544
Krt78	107	89	101	83
Krt79	8	4	3	7
Krt4	0	0	0	0
Krt76	36	32	27	62
Krt77	54	55	17	24
Krt1	15	11	4	3
Gm35972	0	0	1	0
Krt2	0	0	0	0
Krt73	237	203	199	230
Krt72	0	0	0	0
Krt74	9	4	4	5
Krt71	2	0	0	0
Krt5	0	1	1	1
Gm49428	226	223	86	104
Krt6a	35	20	4	4
Krt6b	1	3	1	2
Gm5478	0	1	0	0
Gm17851	0	0	0	0
Gm5414	0	0	0	0
Gm5477	95	77	122	129
Gm5476	0	0	0	0
Krt75	1	0	0	0
Krt90	0	0	0	0
Krt82	0	1	1	0
Krt84	0	0	0	0
Gm6042	0	0	0	0
Krt83	1	1	0	0
Krt86	1	3	2	1
Krt81	1	0	0	2
Krt88	20808	18510	8148	8722
Krt87	1	2	0	2
Krt7	2	4	0	0
Gm671	3	6	3	2
Mir1941	0	0	1	2
Gm35853	100	73	41	61
Krt80	11	7	5	12
Gm52200	67	85	39	61
Gm41403	64	45	16	27
Smim41	200	222	32	36
Atg101	719	663	303	334
Nr4a1	8160	7909	4247	4748
Grasp	45	42	22	19
AU021063	9	13	11	16
A330009N23Rik	1	2	1	0
Mir6962	1	1	3	0
Acvr1b	909	854	517	548
Acvrl1	101	93	25	31
Ankrd33	0	0	0	0
Gm41402	131	136	56	73
Fignl2	25	26	12	6
Gm52176	1	2	0	2
Scn8a	374	364	286	385
Gm35569	7	2	6	4
Gm41401	21	21	8	8
Gm52175	22	11	17	11
Slc4a8	8887	8263	4570	5271
I730030J21Rik	8	3	12	15
Galnt6os	2	6	1	3
Galnt6	92	73	86	81
Cela1	1	1	0	0
Mir6961	0	0	0	0
Bin2	860	898	851	1033
Smagp	15	15	8	7
Dazap2	6367	5915	3365	3767
C330013E15Rik	415	353	165	204
Pou6f1	2384	2260	1250	1497
Tfcp2	1340	1247	890	1046
Csrnp2	3991	3732	2311	2721
Letmd1	1338	1323	814	936
5330439K02Rik	43	21	5	15
Gm5475	15	13	9	4
Slc11a2	1692	1647	599	644
Higd1c	0	0	0	0
Mettl7a2	0	0	0	0
Methig1	0	0	0	0
Mettl7a3	2	0	0	0
Mettl7a1	55	49	19	29
Gm33666	2	0	0	0
Tmprss12	1340	1263	692	852
Atf1	6340	6185	5084	5951
Dip2b	26411	24476	13643	16324
2310068J16Rik	31	29	17	12
Larp4	1215	1065	1131	1358
Gm21917	214	163	132	206
Fam186a	7249	6993	8740	10256
Gm20564	4	9	24	38
1700121M21Rik	28	37	20	14
Uqcrh-ps1	2	1	6	5
Gm18890	0	0	0	1
Gm18095	0	1	0	3
Gm17057	0	1	0	0
Gm4468	0	1	3	2
Gm25897	0	1	0	0
Lima1	139	116	78	105
Cers5	303	322	121	118
Cox14	596	544	200	230
Gpd1	282	249	139	145
Gm16537	10	10	1	5
Gm17241	0	0	0	0
Smarcd1	1410	1284	744	797
Gm34939	39	40	15	12
Asic1	31	26	12	10
Gm34880	0	0	0	0
Racgap1	4743	4224	2512	3022
Aqp6	0	0	0	0
Aqp5	13	13	3	4
Aqp2	33	48	13	12
Gm34765	1	1	2	2
Gm5808	0	0	0	0
Faim2	12	13	10	10
Bcdin3d	744	628	331	383
Nckap5los	229	200	400	448
Nckap5l	259	256	175	200
Tmbim6	44462	44405	19087	20942
Gm22951	1	0	1	5
Fmnl3	1657	1634	857	934
Prpf40b	9245	8469	4807	5249
Fam186b	21164	19915	12062	14494
Gm25999	0	0	0	0
1700120C14Rik	103	95	30	32
Mcrs1	26718	26692	10961	12236
Kcnh3	79	87	64	64
Gm46538	1	0	0	0
Gm46537	0	0	0	0
Gm25183	0	0	0	0
Spats2	6368	5558	3336	3672
Dnajc22	102	92	53	78
C1ql4	21	13	9	9
Mir6960	0	1	4	2
Troap	1076	1199	682	751
Gm34284	47	53	41	55
Prph	22	15	7	4
Gm41399	4	3	1	1
Tuba1c	2102	2285	1074	1321
Gm41398	2	0	1	1
Gm8973	0	0	0	1
4930578M01Rik	293	250	143	177
B430209F14Rik	5	0	2	4
Tuba1a	671	673	188	231
Tuba1b	1317	1462	609	772
Gm41396	1051	926	542	600
Lmbr1l	38240	39876	17541	19561
Dhh	496	485	196	217
Rhebl1	810	775	377	378
Kmt2d	2735	2457	3000	3330
Prkag1	768	683	407	433
B130046B21Rik	1	0	1	0
Ddn	1	2	0	3
Wnt1	26	19	21	16
Wnt10b	13	2	3	5
LOC115488470	212	199	259	343
Arf3	10165	9610	4879	5662
Fkbp11	8	7	11	15
Ccdc65	29016	25318	15633	19298
Gm34152	399	429	250	275
Rnd1	10	6	7	7
Ddx23	1480	1368	968	1080
Cacnb3	45	63	22	21
Adcy6	1603	1484	905	959
4930415O20Rik	2260	1739	1335	1612
9330020H09Rik	585	575	267	313
Ccnt1	3453	3087	2626	3146
Snora2b	5	6	5	10
Mir1291	0	0	0	1
Snora34	0	4	1	0
Kansl2	661	750	482	585
Olfr278-ps1	4	1	3	1
Olfr279	18	34	18	12
Lalba	0	0	1	0
Olfr280-ps1	0	0	0	0
Olfr240-ps1	0	1	0	0
Olfr281	0	0	0	0
Gm6979	0	0	0	0
Olfr282	0	0	0	1
Gm21022	0	1	4	2
1700031M16Rik	2060	1783	1634	1832
Olfr283	1	1	0	1
Olfr284	0	0	0	0
Olfr285	1	1	0	0
Zfp641	43	41	21	21
Gm33967	80	73	63	75
H1f7	28078	26569	16947	18587
Olfr286	1	0	0	1
Olfr287	2	0	1	3
Olfr288	2	2	0	0
Gm33909	85	96	108	127
Ccdc184	21018	20499	7735	8583
Asb8	6780	6328	3045	3662
Pfkm	36253	32492	20505	23165
Gm25668	0	0	0	1
Senp1	7454	6880	6152	7391
Gm41395	97	60	108	158
Gm46536	686	574	231	228
Col2a1	20523	18977	10569	10986
Tmem106c	203	156	105	164
Gm52171	0	0	0	0
Vdr	91	86	33	36
Gm33690	0	0	0	0
Gm33636	1	0	0	0
Hdac7	143	134	69	86
Slc48a1	239	244	60	58
Gm46535	1	0	0	1
Rapgef3os2	5	1	4	1
Rapgef3	418	354	148	161
Gm33531	1552	1362	975	1021
Endou	190	164	141	166
Rpap3	124	122	115	118
Gm41394	128	125	131	138
Gm41393	0	0	0	0
Gm33325	68	79	45	61
Gm4383	0	0	0	0
Pced1b	246	225	195	194
Amigo2	53	43	20	28
Gm33205	13	8	16	17
Gm33253	4	3	1	4
Gm33149	11	6	2	1
Gm32885	295	288	161	224
Gm32733	1	0	2	0
Gm32789	0	0	0	0
Gm32840	0	2	0	1
Slc38a4	14	20	18	15
Rpl10a-ps3	0	0	0	0
Gm32677	0	0	0	0
Gm32564	2	2	3	0
Gm8888	0	0	0	0
Slc38a2	1049	975	456	563
Gm22045	0	0	0	0
Gm46503	0	0	0	0
Gm32457	0	0	0	0
Slc38a1	21	22	7	10
Gm32406	16	15	9	22
Gm41392	35	30	21	24
Gm41408	10	15	15	10
Scaf11	147	105	116	151
Arid2	19632	17729	21956	26608
E330033B04Rik	48	44	190	191
Gm8866	1	0	9	4
4833422M21Rik	5	1	13	13
2610037D02Rik	4	8	12	15
Gm4371	5	2	1	6
Gm38469	48	51	53	43
Gm41390	0	2	2	3
D030018L15Rik	7	7	34	54
Gm41389	0	0	0	1
Gm17546	0	0	0	0
Ano6	430	379	207	248
A130051J06Rik	8	9	6	10
Gm8849	1	1	1	0
Gm6961	0	1	0	1
Gm8843	1	0	0	0
Gm31690	0	0	0	0
Dbx2	2	1	1	0
Gm24668	0	0	1	2
Gm31551	16	6	9	10
Gm31370	2	6	4	5
Nell2	1117	1102	541	691
Gm31075	11	5	3	6
LOC100043315	37	32	49	28
Gm30810	13	4	22	32
Gm30953	0	0	0	0
Gm52203	22	14	21	17
Gm23129	0	0	0	0
Gm31007	218	150	154	217
Gm25546	0	0	0	0
Tmem117	148	118	105	117
Gm30754	0	0	0	0
Twf1	371	315	306	323
Irak4	699	639	514	611
Pus7l	459	367	396	423
Adamts20	485	415	422	554
D630010B17Rik	1	0	0	1
Gm41388	78	77	141	138
Gm30665	95	77	177	201
Gm30609	0	3	1	1
9430014N10Rik	2	0	8	8
Gm30339	4	6	11	14
Gm41386	0	0	0	0
Zfp42-ps1	1	1	0	0
Gm41387	5	4	5	5
Gm41385	225	212	145	213
Prickle1	209	208	98	134
Gm30181	3	3	3	4
Pphln1	7480	6066	5242	6403
Zcrb1	478	398	277	298
Gm26371	0	0	0	0
Gm52193	9	10	18	22
Yaf2	286	244	123	164
Gxylt1	907	824	550	632
Gm4335	0	2	0	1
Gm38535	38	41	31	39
Gm18685	0	0	1	2
Gm30085	109	93	108	112
Gm18815	1	0	0	2
4930588J15Rik	869	765	706	790
Gm52207	25	25	28	26
Pdzrn4	131	97	76	117
LOC115486415	2	1	0	0
Gm26760	3	4	3	5
Gm36901	0	0	0	0
Cntn1	309	291	132	201
Gm3888	0	0	0	0
Gm18979	0	0	0	0
Smgc	7	3	20	17
Gm15382	0	0	4	2
Lrrk2	891	814	788	908
Gm15381	0	1	0	0
Gm15383	0	1	0	0
Slc2a13	39	51	58	60
CN725425	49	44	81	96
Abcd2	32	40	12	28
Gm7167	39	16	36	45
Gm18814	57	62	47	77
Gm36710	0	0	0	0
Gm52215	2	2	1	0
Gm52216	0	0	0	0
Kif21a	491	455	306	354
Gm36618	50	53	86	109
Spn-ps	11903	11214	5018	6661
Tcea1-ps1	5	2	0	0
Rpl31-ps8	2	8	8	6
Gm3861	0	0	0	0
Gm6746	5	2	4	6
Cpne8	146	98	139	140
Gm18372	0	0	0	0
Gm36480	0	0	0	0
Mir7648	0	0	0	0
Alg10b	172	137	86	99
Gm24415	0	0	0	0
Gm36330	95	73	49	56
Syt10	25	24	26	41
Gm19378	73	69	49	62
Gm18476	0	0	0	0
Rabl2	5129	4611	3438	4286
Acr	26583	23608	13425	16381
Gm36221	482	439	189	206
Gm15609	4	2	2	3
Shank3	116	113	117	121
C230037L18Rik	383	332	234	195
Arsa	63410	64903	36133	39152
Mapk8ip2	29800	29343	13001	14498
C730034F03Rik	531	488	709	681
Chkb	22	9	0	5
Cpt1b	67	90	48	68
Gm44502	0	0	0	0
Syce3	1867	1632	922	1122
Klhdc7b	66	53	121	155
Odf3b	621	717	401	425
Tymp	768	609	192	158
Sco2	0	0	0	0
Ncaph2	2224	2111	1036	1189
Lmf2	11262	12318	6049	6828
Miox	0	2	1	0
Adm2	0	2	0	1
Mir6959	1	0	0	0
Sbf1	32049	32260	14983	16791
Ppp6r2	16673	15653	9051	10701
Mir6958	0	0	0	0
Dennd6b	3700	3549	1764	2096
Mir7118	0	0	0	0
Plxnb2	34755	34812	20617	24214
Mapk11	383	361	156	178
Mapk12	48	52	27	25
Gm46530	31	32	48	41
Hdac10	106	84	44	34
Tubgcp6	493	475	334	415
Selenoo	954	882	459	542
Trabd	3689	3394	1434	1577
1810021B22Rik	353	345	148	176
Panx2	332	342	306	304
Gm23737	0	1	2	2
Mov10l1	2691	2464	1501	1748
Gm8702	175	131	144	166
Mlc1	2406	2125	1258	1533
Ttll8	21341	20957	17705	21445
Gm38643	51	45	43	54
Pim3	1108	1081	359	416
Gm33049	10	4	4	5
Gm23144	0	0	0	0
Creld2	32701	28728	15848	18023
Alg12	5162	5113	2919	3279
Zbed4	1331	1176	1613	2020
Gm41377	21	26	32	27
Brd1	4666	4255	2638	2952
Gm35997	1	1	2	1
n-TMcat4	0	0	0	0
Zdhhc25	10016	10349	5083	5949
Gm35831	12	23	24	34
B230214G05Rik	2	0	2	1
4930445N06Rik	350	302	374	417
Gm41376	118	90	156	185
Gm35772	15	6	8	7
Gm35711	0	0	1	2
Gm35599	191	225	374	449
Mir6393	0	0	0	0
Tafa5	26	26	7	15
Gm35471	0	0	0	1
Gm35422	0	0	1	0
A930027H12Rik	179	157	73	79
Gm35284	0	0	0	1
Gm52184	9	4	8	9
4930543I03Rik	252	220	159	197
Gm35118	609	626	539	630
Gm34965	0	0	0	1
Tbc1d22a	4953	4787	2454	2954
Gm22818	0	1	0	1
Gm15569	131	170	75	55
Cerk	18780	17941	8893	10247
Gm15722	1	2	0	0
Gramd4	56	53	38	49
Gm41375	19	26	15	27
Gm34764	0	0	0	0
Celsr1	110	96	74	89
Trmu	136	130	87	89
Gtse1	202	210	102	140
Ttc38	123	108	60	75
Pkdrej	13666	13431	9777	12066
Cdpf1	1789	1686	1099	1187
Ppara	246	183	143	117
Gm46529	0	0	0	0
Gm34622	0	0	0	1
Mirlet7b	0	0	0	0
Mirlet7c-2	0	0	0	0
Lncppara	12	8	2	1
D130051D11Rik	36	31	14	14
AU022754	0	0	0	0
Wnt7b	37	31	11	17
Gm4825	17	9	13	10
7530416G11Rik	5	2	0	2
Gm23517	0	0	0	0
Atxn10	18689	17823	11562	12740
Gm34337	0	0	0	0
Fbln1	222	215	99	94
Gm19277	8	7	2	5
Ribc2	5353	4799	3605	4358
Gm10923	0	0	0	0
Smc1b	3200	2689	5380	6996
Fam118a	7725	6710	3654	4516
Gm52194	1	0	0	1
Upk3a	3	1	1	2
Gm6847	0	0	0	0
Gm39558	218	250	129	146
Mir1249	17	17	3	10
5031439G07Rik	6364	6236	2726	3201
Nup50	18957	17761	9059	10960
Gm29666	50	41	51	59
4930513L16Rik	90	111	85	73
Gm46528	3	3	10	8
Gm4217	1	0	0	1
Gm52202	5	1	1	5
Phf21b	114	101	40	45
Arhgap8	63	65	25	33
Gm20556	2	1	0	0
Gm41374	2	1	0	0
Prr5	229	249	157	163
Gm34201	109	116	84	134
Gm34095	4	7	11	20
Rtl6	14661	13982	6588	7377
Gm34027	190	157	186	227
Gm33966	0	3	0	4
Gm33830	9	5	4	4
Gm46527	3	4	1	4
Shisal1	223	241	152	187
Gm5214	0	0	0	0
Parvg	3146	2976	2020	2282
Gm22890	5	6	3	5
Gm33723	384	365	224	254
Parvb	227	196	115	102
Gm52212	49	37	26	21
Samm50	953	886	429	455
Gm20369	1	1	2	1
Mir6392	0	0	0	0
Pnpla3	18	16	28	31
Gm33530	0	0	0	0
Gm33432	0	0	1	0
Pnpla5	0	0	1	3
Gm46526	5	4	3	0
Sult4a1	102	106	32	35
Rpl31-ps22	0	0	0	1
Efcab6	50058	46820	31507	41257
Gm41372	37	24	16	29
Gm41370	78	63	110	101
Gm52172	7	9	9	12
Mpped1	535	508	402	401
Gm33324	0	0	0	0
Gm52183	18	18	10	16
Scube1	70	65	36	67
Gm52182	3	4	1	2
Ttll12	214	230	84	83
Tspo	45	69	14	28
Mcat	17822	16729	5614	5950
Gm46495	1	4	1	0
Bik	62	64	16	27
Ttll1	2355	2098	1221	1409
Gm52181	1	0	1	0
Gm5417	4	2	3	2
Gm41368	1540	1419	945	1076
Pacsin2	3693	3397	2223	2665
1700001L05Rik	25963	24149	16893	19509
Gm51290	5	3	8	13
Arfgap3	20088	19845	10275	11901
Gm32788	40	65	129	143
C130064B19Rik	0	0	0	1
Gm32886	0	0	2	0
Gm41367	0	0	2	2
A4galt	38	30	11	14
Cyb5r3	1715	1659	986	1161
Rnu12	235	99	189	362
Poldip3	28963	28150	11497	13398
Rrp7a	7849	7626	3678	4459
Serhl	3464	2935	1250	1314
Gm41366	1	3	0	0
Gm32620	0	0	0	0
Nfam1	84	87	60	71
AW121686	7	13	7	7
Mir3080	1	1	0	1
Gm20324	30	8	23	12
Tbrg3	74	58	138	186
Tcf20	24062	22268	14334	17197
Cyp2d26	2796	2671	1519	1760
Cyp2d41-ps	2	0	1	3
Cyp2d40	1	0	0	0
Cyp2d39-ps	0	0	2	1
Cyp2d38-ps	3	0	0	0
Cyp2d37-ps	0	0	0	0
Cyp2d36-ps	0	0	1	0
Cyp2d35-ps	0	0	0	0
Cyp2d13	0	0	0	0
Cyp2d34	0	1	0	0
Cyp2d34-ps	1	0	0	0
Cyp2d33-ps	0	0	0	0
Cyp2d12	0	0	0	0
Gm28023	0	0	0	1
Gm46524	0	0	0	0
Gm46525	0	0	0	0
Tdg-ps	0	0	0	0
Gm27825	0	2	0	1
Cyp2d32-ps	0	0	0	0
Cyp2d9	1	2	0	0
Gm46501	1	0	1	0
Gm19267	0	0	0	0
Cyp2d10	0	0	0	0
Mir7684	0	0	0	0
Cyp2d11	2	0	0	1
Cyp2d22	254	288	110	144
Ndufa6	4943	4172	2317	2773
Smdt1	1329	1402	547	641
n-R5s41	10	11	5	11
Pheta2	3325	3220	1616	1796
Naga	3398	3174	2256	2701
Wbp2nl	4327	4320	1785	2033
